merchant_relation_key,abstract_sku,concrete_sku,price_type,store,currency,price_net,price_gross
mr-004,S10345,,DEFAULT,EU,EUR,1499,1499
mr-004,,S103451,DEFAULT,EU,EUR,1499,1499
mr-004,,S103452,DEFAULT,EU,EUR,3899,3899
mr-004,,S103453,DEFAULT,EU,EUR,12899,12899
mr-004,S10347,,DEFAULT,EU,EUR,3899,3899
mr-004,,S103471,DEFAULT,EU,EUR,3899,3899
mr-004,,S103472,DEFAULT,EU,EUR,9899,9899
mr-004,,S103473,DEFAULT,EU,EUR,34899,34899
mr-004,S10355,,DEFAULT,EU,EUR,,2500
mr-004,S10356,,DEFAULT,EU,EUR,,3500
mr-004,S10357,,DEFAULT,EU,EUR,,4500
mr-004,,S103551,DEFAULT,EU,EUR,,2500
mr-004,,S103552,DEFAULT,EU,EUR,,28000
mr-004,,S103561,DEFAULT,EU,EUR,,3500
mr-004,,S103562,DEFAULT,EU,EUR,,38000
mr-004,,S103571,DEFAULT,EU,EUR,,4500
mr-004,,S103572,DEFAULT,EU,EUR,,52000
