abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
S10345,,DEFAULT,DE,EUR,,1499,
S10347,,DEFAULT,DE,EUR,,3899,
,S103451,DEFAULT,DE,EUR,,1499,
,S103452,DEFAULT,DE,EUR,,3899,
,S103453,DEFAULT,DE,EUR,,12899,
,S103471,DEFAULT,DE,EUR,,3899,
,S103472,DEFAULT,DE,EUR,,9899,
,S103473,DEFAULT,DE,EUR,,34899,
S10345,,DEFAULT,DE,CHF,,1499,
S10347,,DEFAULT,DE,CHF,,3899,
,S103451,DEFAULT,DE,CHF,,1499,
,S103452,DEFAULT,DE,CHF,,3899,
,S103453,DEFAULT,DE,CHF,,12899,
,S103471,DEFAULT,DE,CHF,,3899,
,S103472,DEFAULT,DE,CHF,,9899,
,S103473,DEFAULT,DE,CHF,,34899,
S10355,,DEFAULT,DE,EUR,,2500,
S10356,,DEFAULT,DE,EUR,,3500,
S10357,,DEFAULT,DE,EUR,,4500,
S10355,,DEFAULT,DE,CHF,,2500,
S10356,,DEFAULT,DE,CHF,,3500,
S10357,,DEFAULT,DE,CHF,,4500,
,S103551,DEFAULT,DE,EUR,,2500,
,S103552,DEFAULT,DE,EUR,,28000,
,S103561,DEFAULT,DE,EUR,,3500,
,S103562,DEFAULT,DE,EUR,,38000,
,S103571,DEFAULT,DE,EUR,,4500,
,S103572,DEFAULT,DE,EUR,,52000,
,S103551,DEFAULT,DE,CHF,,2500,
,S103552,DEFAULT,DE,CHF,,28000,
,S103561,DEFAULT,DE,CHF,,3500,
,S103562,DEFAULT,DE,CHF,,38000,
,S103571,DEFAULT,DE,CHF,,4500,
,S103572,DEFAULT,DE,CHF,,52000,
